id,as_of,coverage_start,months,ann_return,ann_volatility,sharpe_ratio,return_over_vol,max_drawdown,pct_positive_months,best_month,worst_month,cumulative_since_inception,ann_return_2y,ann_return_3y,ann_return_5y,ann_return_10y,cum_return_1y,cum_return_ytd,cum_return_mtd,beta_sp500_si,alpha_sp500_ann_si,r_squared_sp500_si,correlation_sp500_si,window_months_si,jensens_alpha_sp500_ann_si,beta_sp500_excess_si,r_squared_sp500_excess_si,downside_capture_sp500_si,upside_capture_sp500_si,down_months_count_si,return_worst10_sp500_si,sp500_worst10_mean_si,beta_sp500_36m,alpha_sp500_ann_36m,r_squared_sp500_36m,correlation_sp500_36m,window_months_36m,jensens_alpha_sp500_ann_36m,beta_sp500_excess_36m,r_squared_sp500_excess_36m,downside_capture_sp500_36m,upside_capture_sp500_36m,down_months_count_36m,return_worst10_sp500_36m,sp500_worst10_mean_36m,q_2026Q2,q_2026Q1,q_2025Q4,q_2025Q3
iEQDELS,2026-07,2000-01,319,0.074103,0.083559,0.667,0.8868,-0.198099,0.652,0.1739,-0.1131,5.688043,0.089162,0.098016,0.060835,0.067951,0.090798,0.061796,0.0012,0.3294,0.045943,0.3586,0.5988,319,0.032409,0.3297,0.3611,0.2551,0.4592,113,-0.03393,-0.10408,0.4019,0.021477,0.5963,0.7722,36,-0.005659,0.4021,0.5953,0.2481,0.4221,13,-0.00962,-0.02869,0.087467,-0.024776,0.01432,0.013115
iEQDGLS,2026-07,2000-01,319,0.098229,0.071129,1.0899,1.381,-0.190231,0.6677,0.082,-0.0754,11.071253,0.14647,0.145442,0.085876,0.075909,0.152971,0.064439,-0.0074,0.3227,0.069159,0.475,0.6892,319,0.055275,0.3222,0.48,0.2043,0.5112,113,-0.02909,-0.10408,0.436,0.058987,0.7555,0.8692,36,0.032517,0.4362,0.7542,0.2633,0.5757,13,-0.01023,-0.02869,0.083656,-0.010411,0.031492,0.055879
iEQDULS,2026-07,2000-01,319,0.097053,0.076188,1.0045,1.2739,-0.185262,0.6865,0.0731,-0.0919,10.732455,0.122895,0.124567,0.076397,0.087391,0.125535,0.072252,-0.0232,0.4268,0.058335,0.7244,0.8511,319,0.046659,0.4267,0.7284,0.3285,0.5878,113,-0.03854,-0.10408,0.5509,0.01872,0.7878,0.8876,36,-0.001663,0.551,0.7873,0.4942,0.5957,13,-0.01316,-0.02869,0.120783,-0.020578,0.024016,0.035429
iEQS,2026-07,2000-01,319,0.130013,0.084386,1.2783,1.5407,-0.205675,0.7367,0.0867,-0.0721,24.770908,0.205362,0.190371,0.090505,0.107251,0.315726,0.115498,-0.0409,0.4009,0.093498,0.5209,0.7217,319,0.081095,0.3986,0.5256,0.2402,0.6516,113,-0.03638,-0.10408,0.6226,0.066229,0.6775,0.8231,36,0.048129,0.6242,0.677,0.5287,0.8138,13,-0.01373,-0.02869,0.165246,-0.001869,0.089996,0.118685
iEQSCON,2026-07,2001-01,307,0.07608,0.09959,0.6084,0.7639,-0.192466,0.6221,0.183,-0.1105,5.526605,0.033188,0.040957,-0.002168,0.017954,-0.048992,-0.034037,-0.047,0.304,0.049654,0.2126,0.4611,307,0.036718,0.3036,0.213,0.2826,0.4802,105,-0.0125,-0.10408,0.3607,-0.023786,0.3688,0.6073,36,-0.051393,0.3595,0.3683,0.3801,0.2837,13,-0.005905,-0.02869,0.100129,-0.078652,-0.036991,0.021722
iEQSEUI,2026-07,2000-01,319,0.123114,0.089595,1.1346,1.3741,-0.251325,0.6959,0.1112,-0.1035,20.899329,0.120705,0.112219,0.092794,0.077694,0.161679,0.056359,-0.028,0.3535,0.091985,0.3592,0.5993,319,0.078511,0.3524,0.3615,0.1669,0.5821,113,-0.03271,-0.10408,0.3087,0.053004,0.3256,0.5706,36,0.020726,0.3095,0.325,0.2888,0.4822,13,-0.00953,-0.02869,0.03116,0.053948,0.047333,0.054095
iEQSFIN,2026-07,2000-01,319,0.120421,0.096408,1.0344,1.2491,-0.225735,0.7085,0.0995,-0.1723,19.545407,0.129187,0.142211,0.089595,0.096106,0.15363,0.065413,0.0235,0.3959,0.08591,0.3893,0.6239,319,0.073357,0.3953,0.3912,0.2167,0.6071,113,-0.04038,-0.10408,0.3706,0.069978,0.3566,0.5972,36,0.040288,0.3702,0.3562,0.2726,0.5727,13,-0.00921,-0.02869,0.045091,-0.003961,0.048659,0.046187
iEQSHLT,2026-07,2000-01,319,0.153292,0.116433,1.1291,1.3166,-0.259545,0.674,0.1496,-0.0936,43.314928,0.216779,0.208002,0.105003,0.127103,0.495805,0.093514,-0.0128,0.4146,0.118177,0.2927,0.541,319,0.105873,0.4115,0.2927,0.2103,0.7261,113,-0.04666,-0.10408,0.4979,0.112282,0.2197,0.4687,36,0.087328,0.4999,0.2205,0.4704,0.8609,13,-0.01812,-0.02869,0.094878,0.011704,0.200632,0.211995
iEQSREI,2026-07,2010-01,199,0.10007,0.081682,1.0202,1.2251,-0.114521,0.7136,0.1047,-0.0825,3.862817,0.074781,0.074786,0.048422,0.069609,0.112911,0.080256,0.0055,0.4181,0.039335,0.5449,0.7382,199,0.02998,0.4211,0.5417,0.3232,0.5113,63,-0.0334,-0.084,0.311,0.01607,0.5197,0.7209,36,-0.014983,0.3113,0.518,0.1954,0.3261,13,-0.00768,-0.02869,0.070433,0.003656,0.013233,0.023892
iEQSTMT,2026-07,2002-01,295,0.103842,0.0933,0.9284,1.113,-0.275092,0.6746,0.1309,-0.0867,10.344654,0.244163,0.21593,0.089212,0.114053,0.25639,0.162989,-0.0815,0.424,0.059886,0.4571,0.6761,295,0.049593,0.4222,0.4574,0.3499,0.6069,99,-0.02898,-0.10339,0.9022,0.039753,0.6639,0.8148,36,0.034921,0.9041,0.6645,0.7158,0.9729,13,-0.01265,-0.02869,0.300903,-0.026689,0.022004,0.080836
